ui_ssp,ui_year,ui_tech,ui_subtype,ui_feature,ui_is_ccs,ui_cooling_type,ui_capacity_factor,fname,fpath,ssp,tech,subtype,feature,is_ccs,cooling_type,cap_factor
SSP5 - 'Taking the Highway',2085,Wind,Offshore,Hub Height 140 meters (m),--,No Cooling,30cf,gridcerf_wind_offshore_hubheight140_no-cooling_30cf.tif,ssp5/2085/wind_offshore/gridcerf_wind_offshore_hubheight140_no-cooling_30cf.tif,ssp5,wind,offshore,hubheight140,--,no-cooling,30cf
SSP5 - 'Taking the Highway',2085,Wind,Offshore,Hub Height 160 meters (m),--,No Cooling,45cf,gridcerf_wind_offshore_hubheight160_no-cooling_45cf.tif,ssp5/2085/wind_offshore/gridcerf_wind_offshore_hubheight160_no-cooling_45cf.tif,ssp5,wind,offshore,hubheight160,--,no-cooling,45cf
SSP5 - 'Taking the Highway',2085,Wind,Offshore,Hub Height 140 meters (m),--,No Cooling,55cf,gridcerf_wind_offshore_hubheight140_no-cooling_55cf.tif,ssp5/2085/wind_offshore/gridcerf_wind_offshore_hubheight140_no-cooling_55cf.tif,ssp5,wind,offshore,hubheight140,--,no-cooling,55cf
SSP5 - 'Taking the Highway',2085,Wind,Offshore,Hub Height 100 meters (m),--,No Cooling,35cf,gridcerf_wind_offshore_hubheight100_no-cooling_35cf.tif,ssp5/2085/wind_offshore/gridcerf_wind_offshore_hubheight100_no-cooling_35cf.tif,ssp5,wind,offshore,hubheight100,--,no-cooling,35cf
SSP5 - 'Taking the Highway',2085,Solar,Photovoltaic (PV) Centralized,--,--,No Cooling,18cf,gridcerf_solar_pv_centralized_no-cooling_18cf.tif,ssp5/2085/solar/gridcerf_solar_pv_centralized_no-cooling_18cf.tif,ssp5,solar,pv centralized,--,--,no-cooling,18cf
SSP5 - 'Taking the Highway',2085,Solar,Photovoltaic (PV) Centralized,--,--,No Cooling,8cf,gridcerf_solar_pv_centralized_no-cooling_8cf.tif,ssp5/2085/solar/gridcerf_solar_pv_centralized_no-cooling_8cf.tif,ssp5,solar,pv centralized,--,--,no-cooling,8cf
SSP5 - 'Taking the Highway',2085,Solar,Photovoltaic (PV) Centralized,--,--,No Cooling,6cf,gridcerf_solar_pv_centralized_no-cooling_6cf.tif,ssp5/2085/solar/gridcerf_solar_pv_centralized_no-cooling_6cf.tif,ssp5,solar,pv centralized,--,--,no-cooling,6cf
SSP5 - 'Taking the Highway',2085,Solar,Photovoltaic (PV) Centralized,--,--,No Cooling,14cf,gridcerf_solar_pv_centralized_no-cooling_14cf.tif,ssp5/2085/solar/gridcerf_solar_pv_centralized_no-cooling_14cf.tif,ssp5,solar,pv centralized,--,--,no-cooling,14cf
SSP5 - 'Taking the Highway',2085,Solar,Photovoltaic (PV) Centralized,--,--,No Cooling,16cf,gridcerf_solar_pv_centralized_no-cooling_16cf.tif,ssp5/2085/solar/gridcerf_solar_pv_centralized_no-cooling_16cf.tif,ssp5,solar,pv centralized,--,--,no-cooling,16cf
SSP5 - 'Taking the Highway',2085,Solar,Photovoltaic (PV) Centralized,--,--,No Cooling,12cf,gridcerf_solar_pv_centralized_no-cooling_12cf.tif,ssp5/2085/solar/gridcerf_solar_pv_centralized_no-cooling_12cf.tif,ssp5,solar,pv centralized,--,--,no-cooling,12cf
SSP5 - 'Taking the Highway',2085,Solar,Photovoltaic (PV) Centralized,--,--,No Cooling,10cf,gridcerf_solar_pv_centralized_no-cooling_10cf.tif,ssp5/2085/solar/gridcerf_solar_pv_centralized_no-cooling_10cf.tif,ssp5,solar,pv centralized,--,--,no-cooling,10cf
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,Yes,Dry,--,gridcerf_gas_cc_ccs_dry.tif,ssp5/2085/gas/gridcerf_gas_cc_ccs_dry.tif,ssp5,gas,cc,--,ccs,dry,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,No,Recirculating,--,gridcerf_gas_cc_no-ccs_recirculating.tif,ssp5/2085/gas/gridcerf_gas_cc_no-ccs_recirculating.tif,ssp5,gas,cc,--,no-ccs,recirculating,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,Yes,Once-through,--,gridcerf_gas_cc_ccs_oncethrough.tif,ssp5/2085/gas/gridcerf_gas_cc_ccs_oncethrough.tif,ssp5,gas,cc,--,ccs,oncethrough,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,No,Recirculating-Seawater,--,gridcerf_gas_cc_no-ccs_recirculating-seawater.tif,ssp5/2085/gas/gridcerf_gas_cc_no-ccs_recirculating-seawater.tif,ssp5,gas,cc,--,no-ccs,recirculating-seawater,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combustion Turbine (CT),--,No,No Cooling,--,gridcerf_gas_turbine_no-ccs_no-cooling.tif,ssp5/2085/gas/gridcerf_gas_turbine_no-ccs_no-cooling.tif,ssp5,gas,turbine,--,no-ccs,no-cooling,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,No,Pond,--,gridcerf_gas_cc_no-ccs_pond.tif,ssp5/2085/gas/gridcerf_gas_cc_no-ccs_pond.tif,ssp5,gas,cc,--,no-ccs,pond,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,No,Dry,--,gridcerf_gas_cc_no-ccs_dry.tif,ssp5/2085/gas/gridcerf_gas_cc_no-ccs_dry.tif,ssp5,gas,cc,--,no-ccs,dry,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,Yes,Recirculating-Seawater,--,gridcerf_gas_cc_ccs_recirculating-seawater.tif,ssp5/2085/gas/gridcerf_gas_cc_ccs_recirculating-seawater.tif,ssp5,gas,cc,--,ccs,recirculating-seawater,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,Yes,Recirculating,--,gridcerf_gas_cc_ccs_recirculating.tif,ssp5/2085/gas/gridcerf_gas_cc_ccs_recirculating.tif,ssp5,gas,cc,--,ccs,recirculating,--
SSP5 - 'Taking the Highway',2085,Natural Gas,Combined Cycle (CC),--,No,Once-through,--,gridcerf_gas_cc_no-ccs_oncethrough.tif,ssp5/2085/gas/gridcerf_gas_cc_no-ccs_oncethrough.tif,ssp5,gas,cc,--,no-ccs,oncethrough,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 2 Reactor Light Water Reactor (LWR),--,--,Recirculating-Seawater,--,gridcerf_nuclear_gen2_lwr_recirculating-seawater.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen2_lwr_recirculating-seawater.tif,ssp5,nuclear,gen2 lwr,--,--,recirculating-seawater,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 2 Reactor Light Water Reactor (LWR),--,--,Pond,--,gridcerf_nuclear_gen2_lwr_pond.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen2_lwr_pond.tif,ssp5,nuclear,gen2 lwr,--,--,pond,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 3 Reactor Small Modular Reactor (SMR),--,--,Pond,--,gridcerf_nuclear_gen3_smr_pond.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen3_smr_pond.tif,ssp5,nuclear,gen3 smr,--,--,pond,--
SSP5 - 'Taking the Highway',2085,Nuclear,Generation 2 Reactor Light Water Reactor (LWR),--,--,Recirculating,--,gridcerf_nuclear_gen2_lwr_recirculating.tif,ssp5/2085/nuclear/gridcerf_nuclear_gen2_lwr_recirculating.tif,ssp5,nuclear,gen2 lwr,--,--,recirculating,--
