Latitude,Longitude,IsFeasible,Angle
-557934.1706999999,-2339115.228,0.0,0
-556934.1706999999,-2339115.228,0.0,0
-555934.1706999999,-2339115.228,0.0,0
-559934.1706999999,-2338115.228,0.0,0
-558934.1706999999,-2338115.228,0.0,0
-557934.1706999999,-2338115.228,0.0,0
-555934.1706999999,-2338115.228,0.0,0
-561934.1706999999,-2337115.228,0.0,0
-559934.1706999999,-2337115.228,0.0,0
-563934.1706999999,-2336115.228,0.0,0
-562934.1706999999,-2336115.228,0.0,0
-561934.1706999999,-2336115.228,0.0,0
-560934.1706999999,-2336115.228,0.0,0
-559934.1706999999,-2336115.228,0.0,0
-558934.1706999999,-2336115.228,0.0,0
-565934.1706999999,-2335115.228,0.0,0
-564934.1706999999,-2335115.228,0.0,0
-563934.1706999999,-2335115.228,0.0,0
-562934.1706999999,-2335115.228,0.0,0
-561934.1706999999,-2335115.228,0.0,0
-560934.1706999999,-2335115.228,0.0,0
-559934.1706999999,-2335115.228,0.0,0
-558934.1706999999,-2335115.228,0.0,0
-566934.1706999999,-2334115.228,0.0,0
-564934.1706999999,-2334115.228,0.0,0
-563934.1706999999,-2334115.228,0.0,0
-562934.1706999999,-2334115.228,0.0,0
-561934.1706999999,-2334115.228,0.0,0
-560934.1706999999,-2334115.228,0.0,0
-559934.1706999999,-2334115.228,0.0,0
-558934.1706999999,-2334115.228,0.0,0
-565934.1706999999,-2333115.228,0.0,0
-564934.1706999999,-2333115.228,0.0,0
-562934.1706999999,-2333115.228,0.0,0
-561934.1706999999,-2333115.228,0.0,0
-560934.1706999999,-2333115.228,0.0,0
-558934.1706999999,-2333115.228,0.0,0
-557934.1706999999,-2333115.228,0.0,0
-556934.1706999999,-2333115.228,0.0,0
-563934.1706999999,-2332115.228,0.0,0
-562934.1706999999,-2332115.228,0.0,0
-561934.1706999999,-2332115.228,0.0,0
-560934.1706999999,-2332115.228,0.0,0
-562934.1706999999,-2331115.228,0.0,0
-560934.1706999999,-2331115.228,0.0,0
-559934.1706999999,-2331115.228,0.0,0
-557934.1706999999,-2331115.228,0.0,0
-562934.1706999999,-2330115.228,0.0,0
-559934.1706999999,-2330115.228,0.0,0
-558934.1706999999,-2330115.228,0.0,0
-557934.1706999999,-2330115.228,0.0,0
